provider,name,ssh_url
GitLab,avnormalize,git@gitlab.lrz.de:edgar-treischl/avnormalize.git
GitLab,bildungsbericht,git@gitlab.lrz.de:qa1/dpro/products/bildungsbericht.git
GitLab,bildungsbericht.updates,git@gitlab.lrz.de:qa1/dpro/products/bildungsbericht.updates.git
GitLab,bildungsbericht.report,git@gitlab.lrz.de:qa1/dpro/products/bildungsbericht.report.git
GitLab,asdb.data,git@gitlab.lrz.de:treischl/asdb.data.git
GitLab,OesReportCore,git@gitlab.lrz.de:edgar-treischl/OesReportCore.git
GitLab,PaulReport,git@gitlab.lrz.de:edgar-treischl/PaulReport.git
GitLab,AmtSchulConnect,git@gitlab.lrz.de:treischl/AmtSchulConnect.git
GitLab,bsrflexdashboard,git@gitlab.lrz.de:edgar-treischl/bsrflexdashboard.git
GitLab,proj_asd_260126_obb_uebertritte,git@gitlab.lrz.de:qa1_projects/proj_asd_260126_obb_uebertritte.git
GitLab,OnboardingCheck,git@gitlab.lrz.de:qa1/orga/OnboardingCheck.git
GitLab,SlidesDataInfra,git@gitlab.lrz.de:edgar-treischl/SlidesDataInfra.git
GitLab,sp3ctrApp,git@gitlab.lrz.de:edgar-treischl/sp3ctrApp.git
GitLab,minio,git@gitlab.lrz.de:edgar-treischl/minio.git
GitLab,dpro_asd_aichach-friedberg,git@gitlab.lrz.de:qa1_projects/dpro_asd_aichach-friedberg.git
GitLab,asd_zeitreihen,git@gitlab.lrz.de:qa1/dpro/asd_zeitreihen.git
GitLab,qa1-db01,git@gitlab.lrz.de:treischl/qa1-db01.git
GitLab,dpro_asd_theiken_gebit,git@gitlab.lrz.de:qa1_projects/dpro_asd_theiken_gebit.git
GitLab,dpro_dat_einschulungen,git@gitlab.lrz.de:qa1_projects/dpro_dat_einschulungen.git
GitLab,bildungsberichtkobek,git@gitlab.lrz.de:edgar-treischl/bildungsberichtkobek.git
GitLab,saubermann2,git@gitlab.lrz.de:edgar-treischl/saubermann2.git
GitLab,vera_schuelerzahlen,git@gitlab.lrz.de:qa1/dpro/vera_schuelerzahlen.git
GitLab,lra_dachau,git@gitlab.lrz.de:qa1/oneshots/lra_dachau.git
GitLab,faktencheck_augsburg,git@gitlab.lrz.de:qa1/oneshots/faktencheck_augsburg.git
GitLab,scpplanung,git@gitlab.lrz.de:stefan.berwing/scpplanung.git
GitLab,docster,git@gitlab.lrz.de:edgar-treischl/docster.git
GitLab,onboarding,git@gitlab.lrz.de:qa1/orga/onboarding.git
GitLab,ProjectPlanning,git@gitlab.lrz.de:qa1/orga/ProjectPlanning.git
GitLab,TeamQ1,git@gitlab.lrz.de:qa1/orga/TeamQ1.git
GitLab,AmtSchulAsdDoku,git@gitlab.lrz.de:stefan.berwing/AmtSchulAsdDoku.git
GitLab,UebertrittGS,git@gitlab.lrz.de:qa1_projects/UebertrittGS.git
GitLab,MiniCran,git@gitlab.lrz.de:treischl/MiniCran.git
GitLab,AmtSchulVerse,git@gitlab.lrz.de:treischl/AmtSchulVerse.git
GitLab,configr-cli,git@gitlab.lrz.de:edgar-treischl/configr-cli.git
GitLab,configr,git@gitlab.lrz.de:edgar-treischl/configr.git
GitLab,MicrostrategyLabelsAsdSpy,git@gitlab.lrz.de:stefan.berwing/MicrostrategyLabelsAsdSpy.git
GitLab,MicrostrategyLabelsAsvSpy,git@gitlab.lrz.de:stefan.berwing/MicrostrategyLabelsAsvSpy.git
GitLab,deployed,git@gitlab.lrz.de:treischl/deployed.git
GitLab,PlayeR,git@gitlab.lrz.de:edgar-treischl/PlayeR.git
GitLab,InternalDocs,git@gitlab.lrz.de:bash/InternalDocs.git
GitLab,TransitionRep,git@gitlab.lrz.de:qa1_projects/TransitionRep.git
GitLab,UebertrittGSReport,git@gitlab.lrz.de:qa1_projects/UebertrittGSReport.git
GitLab,ResteRampe,git@gitlab.lrz.de:edgar.treischl/ResteRampe.git
GitLab,ReportMasterApp,git@gitlab.lrz.de:edgar-treischl/ReportMasterApp.git
GitLab,OddJob,git@gitlab.lrz.de:edgar-treischl/OddJob.git
GitLab,bpmn,git@gitlab.lrz.de:qa1/orga/bpmn.git
GitLab,octopussy,git@gitlab.lrz.de:edgar-treischl/octopussy.git
GitLab,sp3ctr,git@gitlab.lrz.de:edgar-treischl/sp3ctr.git
GitLab,ReportMaster,git@gitlab.lrz.de:edgar-treischl/ReportMaster.git
GitLab,MetaMaster,git@gitlab.lrz.de:edgar-treischl/MetaMaster.git
GitLab,AmtSchulHome,git@gitlab.lrz.de:qa1/AmtSchulHome.git
GitLab,AmtSchulApi,git@gitlab.lrz.de:edgar-treischl/AmtSchulApi.git
GitLab,AmtSchulKarten,git@gitlab.lrz.de:qa1/AmtSchulKarten.git
GitLab,AmtSchulGrafik,git@gitlab.lrz.de:qa1/AmtSchulGrafik.git
GitLab,AmtSchulGit,git@gitlab.lrz.de:edgar-treischl/AmtSchulGit.git
GitLab,saubermann,git@gitlab.lrz.de:qa1/saubermann.git
GitLab,lasHtmlTools,git@gitlab.lrz.de:qa1/lasHtmlTools.git
GitLab,slidesOES,git@gitlab.lrz.de:edgar-treischl/slidesOES.git
GitLab,AmtSchulLabels,git@gitlab.lrz.de:qa1/AmtSchulLabels.git
GitLab,AmtSchulHelfer,git@gitlab.lrz.de:qa1/AmtSchulHelfer.git
GitLab,AmtSchulFarben,git@gitlab.lrz.de:qa1/AmtSchulFarben.git
GitLab,AmtSchulExcel,git@gitlab.lrz.de:qa1/AmtSchulExcel.git
GitLab,AmtSchulEva,git@gitlab.lrz.de:qa1/AmtSchulEva.git
GitLab,AmtSchulDb,git@gitlab.lrz.de:qa1/AmtSchulDb.git
GitLab,AmtSchulBSR,git@gitlab.lrz.de:qa1/AmtSchulBSR.git
GitLab,AmtSchulAV,git@gitlab.lrz.de:qa1/AmtSchulAV.git
